date,N(kg/ha),notes
20181004,45,"10000 kg solid manure, multiplied by the Ntot value of 4.5 kg N/ton from Agroscope guidelines"
20190725,22,50 m3 of digestate --> not sure about the material so at the moment I am keeping farmer's value
