Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model,Original_Params,Optimized_Params,Best_Performing_Params
Hourly,Base,-32.89226460821801,0.08801630542493222,-27.483939176924466,0.08360051039150466,"{'kernel': 'rbf', 'C': np.float64(0.7895016603144926), 'epsilon': np.float64(0.03491451807948741), 'cache_size': 1000, 'gamma': 'scale'}",5.408325431293541,-0.0044157950334275525,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.7895016603144926), 'epsilon': np.float64(0.03491451807948741), 'cache_size': 1000, 'gamma': 'scale'}","{'kernel': 'rbf', 'C': np.float64(0.7895016603144926), 'epsilon': np.float64(0.03491451807948741), 'cache_size': 1000, 'gamma': 'scale'}"
Hourly,Lag,-20.637354417001834,0.14824399808347505,-9.904514221775782,0.1591766460710597,"{'kernel': 'rbf', 'C': np.float64(0.10382082431833152), 'epsilon': np.float64(0.02620146493654403), 'cache_size': 1000, 'gamma': 'scale'}",10.732840195226052,0.010932647987584643,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10382082431833152), 'epsilon': np.float64(0.02620146493654403), 'cache_size': 1000, 'gamma': 'scale'}","{'kernel': 'rbf', 'C': np.float64(0.10382082431833152), 'epsilon': np.float64(0.02620146493654403), 'cache_size': 1000, 'gamma': 'scale'}"
Hourly,Augmented,-23.628140684666146,0.11730322288784065,-12.58348972733138,0.14557409310471553,"{'kernel': 'rbf', 'C': np.float64(0.11535694596259718), 'epsilon': np.float64(0.02610816517037635), 'cache_size': 1000, 'gamma': 'scale'}",11.044650957334767,0.028270870216874883,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.11535694596259718), 'epsilon': np.float64(0.02610816517037635), 'cache_size': 1000, 'gamma': 'scale'}","{'kernel': 'rbf', 'C': np.float64(0.11535694596259718), 'epsilon': np.float64(0.02610816517037635), 'cache_size': 1000, 'gamma': 'scale'}"
Daily,Base,-75.58303487758133,0.16330486478833592,-28.403085336978705,0.19766709859595255,"{'kernel': 'rbf', 'C': np.float64(0.258230815127216), 'epsilon': np.float64(0.020820391078082305), 'cache_size': 1000, 'gamma': np.float64(0.005006948445842001)}",47.17994954060262,0.03436223380761663,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.258230815127216), 'epsilon': np.float64(0.020820391078082305), 'cache_size': 1000, 'gamma': np.float64(0.005006948445842001)}","{'kernel': 'rbf', 'C': np.float64(0.258230815127216), 'epsilon': np.float64(0.020820391078082305), 'cache_size': 1000, 'gamma': np.float64(0.005006948445842001)}"
Daily,Lag,-97.21536643528287,0.3311520218942831,-40.62232077229142,0.27174971218965904,"{'kernel': 'rbf', 'C': np.float64(0.10010593294550671), 'epsilon': np.float64(0.010756452187508172), 'cache_size': 1000, 'gamma': np.float64(0.0013213800126501414)}",56.59304566299146,-0.05940230970462407,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10010593294550671), 'epsilon': np.float64(0.010756452187508172), 'cache_size': 1000, 'gamma': np.float64(0.0013213800126501414)}","{'kernel': 'rbf', 'C': np.float64(0.10010593294550671), 'epsilon': np.float64(0.010756452187508172), 'cache_size': 1000, 'gamma': np.float64(0.0013213800126501414)}"
Daily,Augmented,-106.74308037284166,0.3185890524803921,-65.43774335056305,0.33827909108100973,"{'kernel': 'rbf', 'C': np.float64(0.10095556799242876), 'epsilon': np.float64(0.010032473463488031), 'cache_size': 1000, 'gamma': 'scale'}",41.30533702227861,0.019690038600617632,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10095556799242876), 'epsilon': np.float64(0.010032473463488031), 'cache_size': 1000, 'gamma': 'scale'}","{'kernel': 'rbf', 'C': np.float64(0.10095556799242876), 'epsilon': np.float64(0.010032473463488031), 'cache_size': 1000, 'gamma': 'scale'}"
