Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model
Hourly,Base,0.1202190193886955,0.3373552649362429,-0.23739043166615614,-0.0273831217062933,"{'kernel': 'rbf', 'C': np.float64(0.5199224131110949), 'epsilon': np.float64(0.23088898218197923), 'cache_size': 1000, 'gamma': np.float64(0.005855693393983834)}",-0.35760945105485165,-0.3647383866425362,Original
Hourly,Lag,0.3342781523620363,0.48089342859749146,0.16450373049917888,0.27467282384107206,"{'kernel': 'rbf', 'C': np.float64(1.3531987939847254), 'epsilon': np.float64(0.24792555939342947), 'cache_size': 1000, 'gamma': np.float64(0.0021271184553001117)}",-0.1697744218628574,-0.2062206047564194,Original
Hourly,Augmented,0.32396209692183775,0.46507347638841057,0.20728146329137143,0.3167825501230854,"{'kernel': 'rbf', 'C': np.float64(4.254225601868951), 'epsilon': np.float64(0.26920490993858925), 'cache_size': 1000, 'gamma': np.float64(0.001452358690275552)}",-0.11668063363046632,-0.14829092626532514,Original
Daily,Base,-0.08603748308051817,0.22005959436223216,-0.45173898584507066,-0.10480707162093643,"{'kernel': 'rbf', 'C': np.float64(11.337396258182814), 'epsilon': np.float64(0.04939537685102675), 'cache_size': 1000, 'gamma': np.float64(0.0031686563937043687)}",-0.3657015027645525,-0.3248666659831686,Original
Daily,Lag,0.28668027686273745,0.4351364744725712,0.13797375879245422,0.2569632191741718,"{'kernel': 'rbf', 'C': np.float64(14.857733926168889), 'epsilon': np.float64(0.19170809522824003), 'cache_size': 1000, 'gamma': np.float64(0.0014888693898550474)}",-0.14870651807028323,-0.1781732552983994,Original
Daily,Augmented,0.2785330815621644,0.4159228262035763,0.3017711020053052,0.41246389658620236,"{'kernel': 'rbf', 'C': np.float64(4.877940403790484), 'epsilon': np.float64(0.2075940851958041), 'cache_size': 1000, 'gamma': np.float64(0.0010182335433036045)}",0.023238020443140828,-0.0034589296173739292,Optimized
