Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model
Hourly,Base,-0.0812743063752901,0.3160875616973184,0.10439996258400919,0.31539164584669,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.9}",0.18567426895929928,-0.0006959158506283925,Optimized
Hourly,Lag,0.028632183284513668,0.4732273984775303,-0.13763613979815625,0.304437987172592,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.16626832308266992,-0.1687894113049383,Original
Hourly,Augmented,0.13715985018885835,0.48484518255162395,0.010903064953073138,0.3000270645151936,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.8}",-0.1262567852357852,-0.18481811803643033,Original
Daily,Base,0.6491505131750541,0.8686068571346405,0.4598769264132153,0.8509301016905847,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-0.1892735867618388,-0.01767675544405578,Original
Daily,Lag,0.22933830700443758,0.6062640206065266,0.09855560689256782,0.37265880717608263,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-0.13078270011186977,-0.233605213430444,Original
Daily,Augmented,0.056868672521658836,0.39304047009283277,0.08015903253771295,0.3304482626739373,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.6}",0.023290360016054112,-0.06259220741889548,Optimized
