dataset,struct_family,lag_window,decay,r2,r,n_pred
Chamau,lags_only,1d,none,0.06824088090035352,0.3880071302663553,37
Chamau,lags_only,1d,HL3,0.06824088090035352,0.3880071302663554,37
Chamau,lags_only,1d,HL7,0.06824088090035352,0.38800713026635536,37
Chamau,lags_only,1d,HL14,0.06824088090035352,0.38800713026635536,37
Chamau,lags_only,1d,all,0.06824088090035352,0.3880071302663553,37
Chamau,lags_only,3d,none,0.05317024278237836,0.404253192979372,37
Chamau,lags_only,3d,HL3,0.05317024278237836,0.40425319297937196,37
Chamau,lags_only,3d,HL7,0.05317024278237836,0.404253192979372,37
Chamau,lags_only,3d,HL14,0.05317024278237836,0.404253192979372,37
Chamau,lags_only,3d,all,0.05317024278237836,0.404253192979372,37
Chamau,lags_only,5d,none,0.043054821665854504,0.37266610645055037,37
Chamau,lags_only,5d,HL3,0.043054821665854504,0.3726661064505504,37
Chamau,lags_only,5d,HL7,0.043054821665854504,0.3726661064505503,37
Chamau,lags_only,5d,HL14,0.043054821665854504,0.37266610645055037,37
Chamau,lags_only,5d,all,0.043054821665854504,0.3726661064505503,37
Chamau,lags_only,7d,none,0.012916950607414712,0.3566414206728814,37
Chamau,lags_only,7d,HL3,0.012916950607414712,0.35664142067288146,37
Chamau,lags_only,7d,HL7,0.012916950607414712,0.3566414206728814,37
Chamau,lags_only,7d,HL14,0.012916950607414712,0.3566414206728814,37
Chamau,lags_only,7d,all,0.012916950607414712,0.3566414206728814,37
Chamau,lags_only,1_3_5,none,0.09157747233044711,0.40910932470114614,59
Chamau,lags_only,1_3_5,HL3,0.09157747233044711,0.4091093247011461,59
Chamau,lags_only,1_3_5,HL7,0.09157747233044689,0.4091093247011461,59
Chamau,lags_only,1_3_5,HL14,0.09157747233044711,0.40910932470114614,59
Chamau,lags_only,1_3_5,all,0.09157747233044711,0.4091093247011461,59
Chamau,lags_only,1_3_5_7,none,0.07254935327990641,0.39130027621557095,70
Chamau,lags_only,1_3_5_7,HL3,0.07254935327990641,0.39130027621557106,70
Chamau,lags_only,1_3_5_7,HL7,0.07254935327990641,0.39130027621557106,70
Chamau,lags_only,1_3_5_7,HL14,0.07254935327990641,0.39130027621557106,70
Chamau,lags_only,1_3_5_7,all,0.07254935327990641,0.39130027621557106,70
Chamau,lags_only,3_5_7,none,0.04454013189629347,0.37584600988386163,59
Chamau,lags_only,3_5_7,HL3,0.04454013189629347,0.37584600988386163,59
Chamau,lags_only,3_5_7,HL7,0.04454013189629347,0.37584600988386163,59
Chamau,lags_only,3_5_7,HL14,0.04454013189629347,0.37584600988386163,59
Chamau,lags_only,3_5_7,all,0.04454013189629347,0.37584600988386163,59
Chamau,roll_mean_only,1d,none,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,1d,HL3,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,1d,HL7,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,1d,HL14,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,1d,all,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,3d,none,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3d,HL3,0.1660603309862082,0.5033345906707414,92
Chamau,roll_mean_only,3d,HL7,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3d,HL14,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3d,all,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,5d,none,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,5d,HL3,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,5d,HL7,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,5d,HL14,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,5d,all,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,7d,none,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,7d,HL3,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,7d,HL7,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,7d,HL14,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,7d,all,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,1_3_5,none,0.1660603309862081,0.5033345906707413,92
Chamau,roll_mean_only,1_3_5,HL3,0.1660603309862081,0.5033345906707412,92
Chamau,roll_mean_only,1_3_5,HL7,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,1_3_5,HL14,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,1_3_5,all,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,1_3_5_7,none,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,1_3_5_7,HL3,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,1_3_5_7,HL7,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,1_3_5_7,HL14,0.1660603309862082,0.5033345906707413,92
Chamau,roll_mean_only,1_3_5_7,all,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3_5_7,none,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3_5_7,HL3,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3_5_7,HL7,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3_5_7,HL14,0.1660603309862082,0.5033345906707412,92
Chamau,roll_mean_only,3_5_7,all,0.1660603309862082,0.5033345906707413,92
