Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model
Hourly,Base,-1.6814887856367586,0.07715752773518922,-1.4757690084045638,0.0902711063873198,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.9}",0.2057197772321948,0.013113578652130586,Optimized
Hourly,Lag,-0.8178132406575971,0.12276594558992371,-1.3597696954048288,0.16753645772108322,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.9}",-0.5419564547472318,0.04477051213115951,Original
Hourly,Augmented,-1.3629352460383068,0.12631194258270795,-1.225058795451555,0.1951438760661306,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",0.1378764505867518,0.06883193348342265,Optimized
Daily,Base,-1.303872326795886,-0.6576923076923078,-1.3751467053331452,-0.6238581287415088,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.9}",-0.07127437853725915,0.03383417895079899,Original
Daily,Lag,-1.1963100502291812,-0.575098814229249,-1.3202694997515119,-0.48253832834140603,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.6}",-0.12395944952233062,0.09256048588784299,Original
Daily,Augmented,-1.0383635948502499,-0.6630434782608696,-0.8851369955690567,-0.49209486166007904,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.9}",0.1532265992811932,0.17094861660079058,Optimized
