Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model,Original_Params,Optimized_Params,Best_Performing_Params
Hourly,Base,0.11078744051508704,0.4281754829786246,-0.8092767449657003,0.3266992072177342,"{'kernel': 'rbf', 'C': np.float64(0.38194280332675784), 'epsilon': np.float64(0.2999755263774418), 'cache_size': 1000, 'gamma': np.float64(0.0010030980730932795)}",-0.9200641854807874,-0.10147627576089041,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.38194280332675784), 'epsilon': np.float64(0.2999755263774418), 'cache_size': 1000, 'gamma': np.float64(0.0010030980730932795)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Hourly,Lag,-0.0006497160885916564,0.3365694863266056,-1.1089468693090065,0.16430693807631513,"{'kernel': 'rbf', 'C': np.float64(0.11259018544077165), 'epsilon': np.float64(0.2995385706177273), 'cache_size': 1000, 'gamma': np.float64(0.0997326078076011)}",-1.1082971532204149,-0.17226254825029047,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.11259018544077165), 'epsilon': np.float64(0.2995385706177273), 'cache_size': 1000, 'gamma': np.float64(0.0997326078076011)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Hourly,Augmented,0.1555717570373112,0.39450225247435217,-1.3950931652762715,0.26731741091302874,"{'kernel': 'rbf', 'C': np.float64(0.14519867724065547), 'epsilon': np.float64(0.2954087253952833), 'cache_size': 1000, 'gamma': np.float64(0.09910739799353531)}",-1.5506649223135827,-0.12718484156132343,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.14519867724065547), 'epsilon': np.float64(0.2954087253952833), 'cache_size': 1000, 'gamma': np.float64(0.09910739799353531)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Daily,Base,0.17744467162447242,0.41700422531824116,0.15224204099504435,0.7151008325960815,"{'kernel': 'rbf', 'C': np.float64(0.44970135906543063), 'epsilon': np.float64(0.025142485679321497), 'cache_size': 1000, 'gamma': np.float64(0.0010088311910997306)}",-0.02520263062942807,0.2980966072778403,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.44970135906543063), 'epsilon': np.float64(0.025142485679321497), 'cache_size': 1000, 'gamma': np.float64(0.0010088311910997306)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Daily,Lag,0.5213391967442748,0.7308973224420435,0.3799129613499579,0.7150429202481395,"{'kernel': 'rbf', 'C': np.float64(2.4434184996405963), 'epsilon': np.float64(0.0645227473431398), 'cache_size': 1000, 'gamma': np.float64(0.045510284065159334)}",-0.14142623539431687,-0.015854402193903994,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(2.4434184996405963), 'epsilon': np.float64(0.0645227473431398), 'cache_size': 1000, 'gamma': np.float64(0.045510284065159334)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Daily,Augmented,0.44644276646365466,0.6648529488058994,-0.18061755044602767,0.40996294430390573,"{'kernel': 'rbf', 'C': np.float64(2.1256421260195064), 'epsilon': np.float64(0.2830111673627198), 'cache_size': 1000, 'gamma': 'scale'}",-0.6270603169096823,-0.25489000450199367,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(2.1256421260195064), 'epsilon': np.float64(0.2830111673627198), 'cache_size': 1000, 'gamma': 'scale'}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
