Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model,Original_Params,Optimized_Params,Best_Performing_Params
Hourly,Base,0.31267891788055757,0.6534156299119146,0.1575828509798025,0.5035998047239333,"{'kernel': 'rbf', 'C': np.float64(0.10067590320731735), 'epsilon': np.float64(0.054701273461547614), 'cache_size': 1000, 'gamma': np.float64(0.0010011536710001073)}",-0.15509606690075506,-0.1498158251879813,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10067590320731735), 'epsilon': np.float64(0.054701273461547614), 'cache_size': 1000, 'gamma': np.float64(0.0010011536710001073)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Hourly,Lag,-0.13116279591907154,0.5051015587006719,-0.09361364273212702,0.16339481396522282,"{'kernel': 'rbf', 'C': np.float64(0.10018569547752536), 'epsilon': np.float64(0.021976876916765524), 'cache_size': 1000, 'gamma': np.float64(0.0812606638468398)}",0.03754915318694452,-0.34170674473544904,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10018569547752536), 'epsilon': np.float64(0.021976876916765524), 'cache_size': 1000, 'gamma': np.float64(0.0812606638468398)}","{'kernel': 'rbf', 'C': np.float64(0.10018569547752536), 'epsilon': np.float64(0.021976876916765524), 'cache_size': 1000, 'gamma': np.float64(0.0812606638468398)}"
Hourly,Augmented,-0.148622662264976,0.5264840560590857,-0.14287742187342434,0.27402749309860736,"{'kernel': 'rbf', 'C': np.float64(0.10012213741447135), 'epsilon': np.float64(0.06668709048664802), 'cache_size': 1000, 'gamma': np.float64(0.022538277723652387)}",0.005745240391551665,-0.2524565629604783,Optimized,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10012213741447135), 'epsilon': np.float64(0.06668709048664802), 'cache_size': 1000, 'gamma': np.float64(0.022538277723652387)}","{'kernel': 'rbf', 'C': np.float64(0.10012213741447135), 'epsilon': np.float64(0.06668709048664802), 'cache_size': 1000, 'gamma': np.float64(0.022538277723652387)}"
Daily,Base,0.480420160223596,0.7147058823529412,0.24420991917042512,0.5529411764705882,"{'kernel': 'rbf', 'C': np.float64(0.46650613322954443), 'epsilon': np.float64(0.010022889127022216), 'cache_size': 1000, 'gamma': np.float64(0.002168032692013167)}",-0.2362102410531709,-0.16176470588235303,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.46650613322954443), 'epsilon': np.float64(0.010022889127022216), 'cache_size': 1000, 'gamma': np.float64(0.002168032692013167)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Daily,Lag,-0.04328267877071612,0.2785714285714285,-0.054265841676012894,-0.10714285714285714,"{'kernel': 'rbf', 'C': np.float64(0.10019236092155644), 'epsilon': np.float64(0.2657902316725927), 'cache_size': 1000, 'gamma': np.float64(0.04539549656316052)}",-0.010983162905296773,-0.3857142857142857,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.10019236092155644), 'epsilon': np.float64(0.2657902316725927), 'cache_size': 1000, 'gamma': np.float64(0.04539549656316052)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
Daily,Augmented,-0.05592040864762282,0.3607142857142856,-0.17216305482421546,-0.10357142857142855,"{'kernel': 'rbf', 'C': np.float64(0.3874357958293204), 'epsilon': np.float64(0.013744883859127062), 'cache_size': 1000, 'gamma': np.float64(0.021277883365603198)}",-0.11624264617659263,-0.46428571428571414,Original,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}","{'kernel': 'rbf', 'C': np.float64(0.3874357958293204), 'epsilon': np.float64(0.013744883859127062), 'cache_size': 1000, 'gamma': np.float64(0.021277883365603198)}","{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0, 'random_state': 42}"
