Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model
Hourly,Base,-1.0485475222115448,0.32887551425852635,-0.9948616163951307,0.36054220888319816,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.6}",0.05368590581641408,0.03166669462467181,Optimized
Hourly,Lag,0.12442124721186953,0.4655268869903085,0.16140066964811484,0.4767497436240982,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",0.0369794224362453,0.011222856633789746,Optimized
Hourly,Augmented,0.13284778098571903,0.4522272497357216,0.1925345795582606,0.48107200220613866,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.6}",0.059686798572541555,0.028844752470417068,Optimized
Daily,Base,-1.3500100932593142,0.49662441791086126,-0.6635727229861885,0.5609862366647026,"{'colsample_bytree': 0.6, 'gamma': 0.2, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.6}",0.6864373702731257,0.06436181875384134,Optimized
Daily,Lag,-0.34450083262233155,0.5075284962663914,-0.2489555275202635,0.6462779687207338,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.8}",0.09554530510206805,0.13874947245434244,Optimized
Daily,Augmented,-0.19057551640850168,0.5993714533541543,-0.6238653521473492,0.47778976552397995,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",-0.4332898357388475,-0.12158168783017437,Original
