Temporal,Predictors,R2_original,Spearman_original,R2_optimized,Spearman_optimized,Best_Params,R2_improvement,Spearman_improvement,Better_Model
Hourly,Base,-65.98893912065532,0.054381820214949896,-7.2648115571880645,-0.020056002164363314,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",58.72412756346725,-0.0744378223793132,Optimized
Hourly,Lag,-35.9410946487734,0.13899726916756905,-12.392077381528168,0.1284446759489908,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.6}",23.549017267245233,-0.010552593218578238,Optimized
Hourly,Augmented,-56.26744924010488,0.1726157864435516,-18.284197441989612,0.14696688070916233,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.6}",37.98325179811527,-0.02564890573438927,Optimized
Daily,Base,-3.1274204635902647,0.14663647970977325,-5.845481726286798,0.009391422853202429,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}",-2.7180612626965335,-0.13724505685657082,Original
Daily,Lag,-4.564289022598304,-0.052178117336679784,-4.0047890338587,-0.10699956141055789,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 200, 'subsample': 0.9}",0.5594999887396037,-0.0548214440738781,Optimized
Daily,Augmented,-8.800603620383868,-0.01608589519752018,-12.554372256635633,-0.1465176490463685,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.2, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.6}",-3.753768636251765,-0.1304317538488483,Original
